1,Florida,47,36,24,11,2,120,37,39.90%,30.80%,FL,Both(FL)
2,Texas,29,26,12,7,0,64,19,21.30%,29.70%,TX,Gulf
3,Louisiana,24,30,13,4,1,62,18,20.60%,29%,LA,Gulf
4,North Carolina,32,19,6,1,0,58,7,19.30%,12.10%,NC,Atl
5,South Carolina,17,9,2,3,0,31,5,10.30%,16.10%,SC,Atl
6,Alabama,12,6,5,0,0,23,5,7.60%,21.70%,AL,Gulf
7,Georgia,14,4,2,1,0,21,3,7.00%,14.30%,GA,Atl
8,New York,9,3,3,0,0,15,3,5.00%,20.00%,NY,Atl
9,Mississippi,3,5,5,0,1,14,6,4.70%,42.90%,MS,Gulf
10,Virginia,11,2,0,0,0,13,0,4.30%,0.00%,VA,Atl
11,Massachusetts,7,4,1,0,0,12,1,4.00%,8.30%,MA,Atl
12,Connecticut,7,2,2,0,0,11,2,3.70%,18.20%,CT,Atl
13,Rhode Island,5,2,3,0,0,10,3,3.30%,30.00%,RI,Atl
14,New Jersey,4,0,0,0,0,4,0,1.30%,0.00%,NJ,Atl
15,Maine,2,1,0,0,0,3,0,1.00%,0.00%,ME,Atl
16,Maryland,2,0,0,0,0,2,0,0.70%,0.00%,MD,Atl
16,Delaware,2,0,0,0,0,2,0,0.70%,0.00%,DE,Atl
18,Pennsylvania,1,0,0,0,0,1,0,0.30%,0.00%,PA,Atl
18,New Hampshire,0,1,0,0,0,1,0,0.30%,0.00%,NH,Atl
