Rank,Location,Year,Category,Deaths,Name
1,TX,1900,4,8000,
2,FL,1928,4,2500,
3,LA/MS,2005,3,1200,Katrina
4,LA,1893,4,1100,
5,SC/GA,1893,3,1000,
6,GA/SC,1881,2,700,
7,LA/TX,1957,4,416,
8,FL,1935,5,408,
9,LA,1856,4,400,
10,FL,1926,4,372,
11,LA,1909,3,350,
12,FL,1919,4,287,
13,LA,1915,3,275,
13,TX,1915,4,275,
15,MA/CT/RI/ME/NH,1938,3,256,the Long Island Express
15,MS/LA/VA,1969,5,256,Camille
17,MA/CT/RI/ME/NH,1955,1,184,Diane
18,GA/SC/NC,1898,4,179,
19,TX,1875,3,176,
20,FL,1906,3,164,
21,TX,1886,4,150,
22,MS/AL/PENSACOLA,1906,2,134,
23,FL/GA/SC,1896,3,130,
24,FL/MA/CT/RI/ME/NH,1972,1,122,Agnes
25,SC/NC,1954,4,95,
26,FL/LA,1965,3,75,Betsy
27,MA/CT/RI/ME/NH,1944,3,64,The Great Atlantic Hurricane
28,MA/CT/RI/ME/NH,1954,3,60,Carol
29,NY/NJ/DE/MD/MA/CT/RI/ME/NH,1999,2,56,Floyd
30,NC,1883,2,53,
31,FL/LA/MS,1947,4,51,
32,NC/SC,1899,3,50,
32,GA/SC/NC,1940,2,50,
32,FL,1960,4,50,Donna
35,LA,1860,2,47,
36,NC/VA,1879,3,46,
36,TX,1961,4,46,
38,TX,1909,3,41,
38,TX,2001,TS,41,Allison
40,NY/NJ/DE/PA/MD,1889,TS,40,
40,TX,1932,4,40,
40,TX,1933,3,40,
43,LA,1964,3,38,
44,LA/ TX,1918,3,34,
45,FL,1910,3,30,
45,FL/GA/AL,1994,TS,30,
47,SC/FL,1893,3,28,
48,MA/CT/RI/ME/NH,1878,2,27,
48,TX,1886,2,27,
50,FL/LA,1992,5,26,Andrew
50,NC,1996,3,26,Fran
52,LA,1926,3,25,
52,NC,1955,3,25,
52,FL/AL,2004,3,25,IVAN
